iter	Passed	Remaining
0	104	104459
1	105	52812
2	107	35639
3	108	27074
4	110	21917
5	111	18502
6	113	16048
7	114	14189
8	115	12740
9	116	11574
10	118	10623
11	119	9835
12	120	9179
13	122	8618
14	123	8120
15	124	7684
16	126	7297
17	127	6975
18	129	6676
19	130	6400
20	131	6149
21	133	5916
22	134	5706
23	135	5512
24	137	5348
25	138	5205
26	140	5055
27	141	4911
28	142	4778
29	143	4654
30	145	4543
31	146	4437
32	147	4333
33	149	4235
34	150	4148
35	151	4068
36	153	3983
37	154	3907
38	155	3831
39	156	3767
40	158	3698
41	159	3633
42	160	3571
43	161	3511
44	163	3459
45	164	3405
46	165	3352
47	166	3301
48	167	3251
49	168	3204
50	170	3164
51	171	3119
52	172	3078
53	173	3035
54	174	2997
55	175	2962
56	176	2925
57	177	2888
58	178	2854
59	180	2820
60	181	2788
61	182	2758
62	183	2728
63	184	2700
64	185	2671
65	186	2643
66	188	2618
67	189	2592
68	190	2568
69	191	2542
70	192	2518
71	193	2495
72	194	2473
73	195	2449
74	196	2428
75	198	2408
76	199	2388
77	200	2369
78	201	2352
79	202	2333
80	204	2314
81	205	2295
82	205	2272
83	206	2256
84	208	2239
85	209	2223
86	210	2207
87	211	2191
88	212	2178
89	213	2163
90	215	2147
91	216	2131
92	217	2117
93	218	2104
94	219	2091
95	220	2078
96	221	2064
97	223	2053
98	224	2042
99	225	2032
100	227	2022
101	228	2012
102	229	2000
103	230	1989
104	232	1980
105	233	1969
106	234	1959
107	235	1947
108	237	1938
109	238	1930
110	239	1920
111	240	1910
112	242	1900
113	243	1892
114	244	1883
115	245	1874
116	246	1863
117	248	1854
118	249	1845
119	250	1837
120	251	1829
121	252	1819
122	253	1810
123	255	1802
124	256	1794
125	257	1787
126	258	1778
127	259	1770
128	260	1762
129	262	1755
130	263	1748
131	264	1741
132	265	1733
133	266	1725
134	268	1718
135	269	1711
136	270	1703
137	271	1697
138	273	1691
139	274	1684
140	275	1678
141	276	1669
142	277	1663
143	278	1656
144	279	1649
145	280	1643
146	282	1638
147	283	1631
148	284	1624
149	285	1618
150	286	1613
151	288	1608
152	289	1603
153	290	1596
154	291	1590
155	293	1585
156	294	1580
157	295	1575
158	296	1569
159	298	1564
160	298	1556
161	300	1552
162	301	1547
163	302	1542
164	303	1536
165	304	1530
166	305	1526
167	307	1520
168	308	1515
169	309	1510
170	310	1505
171	311	1500
172	312	1495
173	313	1490
174	315	1485
175	316	1480
176	317	1475
177	318	1471
178	319	1467
179	321	1462
180	322	1457
181	323	1452
182	324	1448
183	325	1445
184	326	1440
185	328	1435
186	329	1430
187	330	1426
188	331	1422
189	332	1418
190	333	1413
191	334	1409
192	336	1405
193	337	1402
194	338	1397
195	339	1393
196	341	1390
197	343	1389
198	344	1386
199	345	1382
200	346	1378
201	348	1374
202	349	1370
203	350	1367
204	351	1363
205	352	1359
206	353	1355
207	355	1351
208	356	1348
209	357	1344
210	358	1340
211	359	1336
212	360	1332
213	361	1329
214	363	1326
215	364	1322
216	365	1319
217	366	1316
218	368	1313
219	369	1310
220	370	1307
221	372	1303
222	373	1300
223	374	1298
224	375	1294
225	376	1291
226	378	1287
227	379	1284
228	380	1280
229	381	1277
230	382	1274
231	383	1271
232	385	1267
233	386	1264
234	387	1261
235	388	1258
236	389	1255
237	391	1251
238	392	1248
239	393	1245
240	394	1242
241	395	1239
242	396	1235
243	397	1232
244	398	1229
245	400	1226
246	401	1223
247	402	1220
248	403	1217
249	404	1214
250	406	1211
251	407	1208
252	408	1205
253	409	1202
254	410	1199
255	411	1196
256	412	1193
257	414	1191
258	415	1188
259	416	1185
260	417	1183
261	419	1180
262	420	1178
263	421	1175
264	422	1172
265	424	1170
266	425	1167
267	426	1164
268	427	1161
269	428	1159
270	429	1156
271	431	1154
272	432	1152
273	433	1149
274	434	1146
275	436	1143
276	437	1141
277	438	1138
278	439	1135
279	440	1133
280	441	1130
281	443	1128
282	444	1125
283	445	1122
284	446	1120
285	447	1117
286	448	1115
287	450	1113
288	451	1110
289	452	1107
290	453	1104
291	454	1101
292	455	1099
293	456	1097
294	457	1094
295	459	1091
296	460	1088
297	461	1086
298	462	1083
299	463	1081
300	464	1078
301	465	1076
302	466	1073
303	467	1071
304	469	1069
305	470	1066
306	471	1064
307	472	1061
308	473	1058
309	474	1056
310	475	1054
311	476	1051
312	478	1049
313	479	1046
314	480	1044
315	481	1042
316	482	1039
317	483	1037
318	484	1034
319	485	1032
320	487	1030
321	488	1028
322	489	1025
323	490	1023
324	491	1021
325	492	1018
326	493	1016
327	494	1013
328	495	1011
329	496	1008
330	498	1006
331	499	1004
332	500	1002
333	501	1000
334	502	997
335	503	995
336	504	993
337	506	991
338	507	989
339	508	987
340	509	985
341	511	983
342	512	981
343	513	979
344	514	977
345	515	974
346	516	972
347	517	970
348	518	967
349	520	965
350	521	964
351	522	961
352	523	960
353	525	958
354	526	956
355	527	954
356	528	952
357	530	950
358	531	948
359	532	946
360	533	944
361	534	942
362	535	940
363	537	938
364	538	936
365	539	934
366	540	931
367	541	929
368	542	928
369	543	926
370	545	924
371	546	922
372	547	919
373	548	917
374	550	916
375	551	914
376	552	912
377	553	910
378	554	909
379	556	907
380	557	905
381	558	903
382	559	901
383	560	899
384	561	897
385	562	895
386	564	893
387	565	891
388	566	889
389	567	887
390	568	885
391	569	883
392	570	881
393	571	879
394	572	877
395	574	875
396	575	873
397	576	872
398	577	870
399	579	868
400	580	866
401	581	864
402	582	862
403	583	861
404	584	859
405	585	857
406	587	855
407	588	853
408	589	851
409	590	849
410	591	847
411	592	846
412	593	844
413	595	842
414	596	840
415	597	838
416	598	836
417	599	835
418	600	833
419	602	831
420	603	829
421	604	827
422	605	826
423	606	824
424	607	822
425	608	820
426	609	818
427	610	816
428	612	814
429	613	812
430	614	810
431	615	808
432	616	806
433	617	804
434	618	803
435	619	801
436	620	799
437	622	798
438	623	796
439	624	794
440	625	792
441	626	790
442	627	789
443	628	787
444	629	785
445	631	783
446	632	782
447	633	780
448	634	778
449	635	776
450	636	774
451	638	773
452	639	771
453	640	769
454	641	768
455	642	766
456	643	764
457	644	762
458	645	760
459	646	759
460	647	757
461	649	755
462	650	754
463	651	752
464	652	750
465	653	749
466	654	747
467	656	745
468	657	744
469	658	742
470	659	740
471	660	738
472	661	737
473	662	735
474	664	733
475	664	732
476	666	730
477	667	728
478	668	727
479	670	725
480	671	724
481	672	722
482	673	720
483	674	719
484	675	717
485	676	715
486	677	713
487	678	712
488	680	710
489	681	709
490	682	707
491	683	705
492	684	704
493	685	702
494	686	700
495	687	699
496	689	697
497	690	695
498	691	694
499	692	692
500	693	690
501	694	689
502	695	687
503	696	685
504	698	684
505	699	682
506	700	681
507	701	679
508	702	677
509	703	676
510	704	674
511	706	672
512	707	671
513	708	669
514	709	667
515	710	666
516	711	664
517	712	662
518	713	661
519	714	659
520	715	657
521	716	656
522	717	654
523	718	652
524	719	651
525	720	649
526	721	647
527	722	646
528	724	644
529	725	643
530	726	641
531	727	639
532	728	637
533	729	636
534	730	634
535	731	633
536	732	631
537	733	629
538	734	627
539	735	626
540	736	624
541	737	623
542	738	621
543	739	619
544	740	618
545	741	616
546	743	615
547	744	613
548	745	612
549	746	610
550	747	608
551	748	607
552	749	605
553	750	604
554	751	602
555	752	600
556	753	599
557	754	597
558	755	595
559	756	594
560	757	592
561	758	590
562	759	589
563	760	587
564	761	586
565	762	584
566	763	582
567	764	581
568	765	579
569	766	578
570	767	576
571	768	575
572	769	573
573	770	572
574	771	570
575	772	568
576	774	567
577	775	566
578	776	564
579	777	562
580	778	561
581	779	559
582	780	558
583	781	556
584	782	555
585	783	553
586	784	551
587	785	550
588	786	548
589	787	547
590	788	545
591	789	544
592	791	542
593	792	541
594	793	540
595	794	538
596	795	536
597	796	535
598	797	533
599	798	532
600	799	530
601	800	529
602	801	527
603	802	526
604	803	524
605	804	523
606	805	521
607	806	520
608	807	518
609	808	516
610	809	515
611	810	513
612	811	512
613	813	511
614	814	509
615	815	508
616	815	506
617	817	505
618	818	503
619	819	502
620	820	500
621	821	499
622	822	497
623	823	496
624	824	494
625	825	493
626	826	491
627	827	490
628	828	488
629	829	487
630	830	485
631	831	484
632	832	482
633	833	481
634	835	479
635	836	478
636	837	477
637	838	475
638	839	474
639	840	472
640	841	471
641	842	469
642	843	468
643	844	466
644	845	465
